cell,longitude,latitude,richness,phylo.dist,phylo.SC,phylo.SV,morpho.MNND,morpho.volume,morpho.SD.MSTD,funct.rich,funct.even,funct.div
6854,-62.8,-2.8,55,799.4,0.805725971,0.539495845,0.845197717,82073.74135,0.87499828,6,0.46969697,1.27570665
6855,-61.8,-2.8,54,793.6,0.803529501,0.539278523,0.859595302,82073.74135,0.878203369,6,0.462962963,1.26258964
6856,-60.8,-2.8,52,782.4,0.795068429,0.541960846,0.891798802,82073.74135,0.887184941,6,0.461538462,1.25513682
6857,-59.8,-2.8,52,782.4,0.795068429,0.541960846,0.891798802,82073.74135,0.887184941,6,0.461538462,1.25513682
6858,-58.8,-2.8,52,782.4,0.795068429,0.541960846,0.891798802,82073.74135,0.887184941,6,0.461538462,1.25513682
6859,-57.8,-2.8,51,778.4,0.788965075,0.544834997,0.888014441,82073.74135,0.896101508,6,0.467320261,1.26350944
6860,-56.8,-2.8,50,755.6,0.79406953,0.543948917,0.889648301,82073.74135,0.93071883,6,0.466666667,1.26869347
6861,-55.8,-2.8,50,755.6,0.79406953,0.543948917,0.889648301,82073.74135,0.93071883,6,0.466666667,1.26869347
6862,-54.8,-2.8,52,810.1,0.785551361,0.557762479,0.908711832,82073.74135,0.915188195,6,0.487179487,1.30758179
6863,-53.8,-2.8,52,827.8,0.788186251,0.570109529,0.921655332,82746.47693,0.887664556,6,0.5,1.34619923
6864,-52.8,-2.8,53,839.7,0.791603967,0.573282758,0.907180736,82746.47693,0.874926545,6,0.506289308,1.3423239
6865,-51.8,-2.8,51,806.7,0.786879987,0.561690525,0.912472328,82746.47693,0.891667075,6,0.486928105,1.29124926
6866,-50.8,-2.8,52,814.9,0.787792984,0.558376284,0.906370783,82746.47693,0.883273032,6,0.480769231,1.28321761
6867,-49.8,-2.8,52,814.9,0.787792984,0.558376284,0.906370783,82746.47693,0.883273032,6,0.480769231,1.28321761
6868,-48.8,-2.8,52,814.9,0.787792984,0.558376284,0.906370783,82746.47693,0.883273032,6,0.480769231,1.28321761
6869,-47.8,-2.8,52,814.9,0.787792984,0.558376284,0.906370783,82746.47693,0.883273032,6,0.480769231,1.28321761
6870,-46.8,-2.8,51,792.1,0.792774369,0.557820281,0.908332536,82746.47693,0.917374433,6,0.480392157,1.2893344
6871,-45.8,-2.8,42,678.4,0.787223683,0.570461892,0.968064008,72951.71105,0.992104543,6,0.507936508,1.33662646
6872,-44.8,-2.8,40,663,0.775664622,0.574403545,0.989331468,70519.98735,1.010959253,6,0.508333333,1.31909784
6873,-43.8,-2.8,36,602.8,0.779652352,0.581695719,1.026037987,62439.57213,1.052340206,6,0.472222222,1.24794086
6874,-42.8,-2.8,36,602.8,0.779652352,0.581695719,1.026037987,62439.57213,1.052340206,6,0.472222222,1.24794086
6920,-80.8,-3.8,34,634.3,0.695537111,0.571598336,1.222938766,355031.7827,1.234511721,6,0.519607843,1.39304801
6921,-79.8,-3.8,47,746.8,0.749336466,0.547525676,1.018808134,387905.0959,1.102770522,6,0.478723404,1.3133282
6922,-78.8,-3.8,58,897,0.761018264,0.546154541,0.94988387,389884.2035,1.009099936,6,0.488505747,1.33705489
6923,-77.8,-3.8,72,1001.3,0.801976823,0.55829341,0.858993647,390450.3754,0.927202678,6,0.509259259,1.3746516
6924,-76.8,-3.8,68,962.7,0.801936726,0.565253846,0.886458612,390450.3754,0.947087712,6,0.519607843,1.39631757
6925,-75.8,-3.8,65,949.5,0.802013528,0.573837895,0.918869643,390450.3754,0.938111092,6,0.525641026,1.4098135
6926,-74.8,-3.8,64,949.4,0.798185072,0.572210658,0.950720165,390709.8306,0.928945516,6,0.520833333,1.38917189
6927,-73.8,-3.8,60,895.5,0.79192229,0.552846233,0.963239855,377722.2462,0.957817716,6,0.483333333,1.3118615
6928,-72.8,-3.8,60,876.2,0.798500341,0.546669671,0.94309354,377722.2462,0.962907,6,0.466666667,1.27240246
6929,-71.8,-3.8,59,859.4,0.798828463,0.545935777,0.881176484,71638.52791,0.846666187,6,0.466101695,1.27590692
6930,-70.8,-3.8,60,872.8,0.802658487,0.547258905,0.872188667,71638.52791,0.842859942,6,0.466666667,1.27240246
